X_Rail (0.01mm),Theta1 (0.1deg),Theta2 (0.1deg),Theta3 (0.1deg)
-3589,280,1159,161
-3589,275,1162,164
-3589,270,1164,166
-3589,265,1166,169
-3589,260,1168,172
-3589,255,1171,174
-3589,250,1173,177
-3589,245,1176,179
-3589,240,1178,182
-3589,235,1181,184
-3589,230,1184,186
-3589,225,1187,189
-3589,219,1190,191
-3589,214,1193,193
-3589,209,1196,195
-3589,203,1199,198
-3589,198,1202,200
-3589,192,1206,202
-3589,187,1209,204
-3589,181,1213,206
-3589,176,1216,208
-3589,170,1220,210
-3589,164,1224,212
-3589,159,1228,214
-3589,153,1232,215
-3589,147,1236,217
-3589,141,1240,219
-3589,135,1244,221
-3589,129,1249,222
-3589,123,1253,224
-3589,117,1258,225
-3589,110,1263,227
-3589,104,1268,229
-3589,98,1272,230
-3589,91,1277,231
-3589,85,1283,233
-3589,78,1288,234
-3589,71,1293,235
-3589,64,1299,237
-3589,57,1305,238
-3589,50,1310,239
-3589,43,1316,240
-3589,36,1322,241
-3589,29,1329,243
-3589,21,1335,244
-3589,14,1342,245
-3589,6,1348,246
-3589,-2,1355,247
-3589,-10,1362,248
-3589,-18,1369,249
-3589,-26,1377,249
-3589,-35,1384,250
-3589,-44,1392,251
-3589,-53,1400,252
-3589,-62,1409,253
-3589,-71,1417,254
-3589,-81,1426,255
-3589,-91,1435,256
-3589,-102,1445,257
-3589,-113,1454,258
-3589,-124,1465,260
-3589,-136,1475,261
-3589,-149,1486,263
-3589,-162,1498,265
-3589,-176,1510,267
-3589,-192,1522,269
-3589,-208,1536,273
-3589,-208,1536,273
-3589,-1080,1800,880
-3589,-1080,1800,880
-3429,-1079,1800,879
-3283,-1078,1800,878
-3164,-1077,1800,877
-3045,-1076,1800,876
-2926,-1075,1800,875
-2796,-1074,1800,874
-2659,-1073,1800,873
-2567,-1072,1800,872
-2494,-1071,1800,871
-2429,-1070,1800,870
-2385,-1068,1800,868
-2343,-1067,1800,867
-2306,-1066,1800,866
-2268,-1065,1800,865
-2230,-1063,1800,863
-2193,-1062,1800,862
-2177,-1061,1800,861
-2177,-1060,1800,860
-2143,-1058,1800,858
-2085,-670,1747,523
-2027,-554,1724,430
-2001,-484,1706,378
-2001,-435,1691,344
-1980,-398,1678,320
-1942,-368,1667,302
-1913,-343,1656,287
-1913,-322,1646,276
-1913,-303,1636,266
-1913,-286,1628,258
-1897,-271,1619,252
-1833,-258,1612,246
-1824,-245,1604,241
-1824,-233,1597,237
-1824,-222,1590,233
-1758,-213,1583,229
-1648,-204,1577,226
-1648,-195,1571,224
-1648,-186,1565,221
-1696,-178,1559,219
-1736,-170,1553,216
-1736,-162,1548,214
-1740,-155,1542,212
-1805,-148,1537,211
-1824,-141,1532,209
-1824,-134,1527,208
-1824,-128,1522,206
-1824,-122,1517,205
-1896,-116,1512,203
-1995,-110,1508,202
-2001,-105,1503,201
-2001,-99,1499,200
-2001,-93,1495,199
-2001,-88,1490,198
-2001,-83,1486,197
-2076,-78,1482,196
-2177,-73,1478,195
-2177,-68,1474,194
-2177,-64,1470,193
-2177,-59,1467,192
-2177,-54,1463,191
-2221,-50,1459,191
-2265,-45,1455,190
-2265,-41,1452,189
-2265,-36,1448,188
-2309,-32,1445,187
-2354,-28,1441,187
-2363,-24,1438,186
-2428,-20,1435,185
-2442,-16,1431,184
-2442,-12,1428,184
-2442,-8,1425,183
-2442,-4,1422,182
-2442,0,1418,181
-2429,4,1415,181
-2354,8,1413,180
-2341,11,1410,179
-2222,15,1407,178
-2177,18,1404,178
-2124,22,1401,177
-2040,25,1399,176
-1937,28,1396,176
-1818,32,1394,175
-1699,35,1391,174
-1606,38,1389,174
-1533,41,1386,173
-1455,45,1383,172
-1350,48,1381,171
-1245,51,1379,171
-1153,54,1376,170
-1069,57,1374,169
-980,60,1372,168
-886,63,1369,168
-793,66,1367,167
-706,69,1365,166
-622,72,1363,165
-566,75,1360,165
-528,78,1358,164
-481,81,1356,163
-408,84,1354,162
-335,87,1351,161
-235,90,1349,160
-130,93,1347,160
-60,96,1345,159
-60,99,1343,158
-3,102,1341,157
81,104,1339,156
117,107,1337,155
117,110,1335,155
208,113,1334,154
299,115,1332,153
343,118,1330,152
387,121,1328,151
431,124,1326,150
474,127,1324,149
518,129,1322,148
562,132,1321,147
606,135,1319,146
650,137,1317,145
702,140,1315,144
735,143,1314,144
760,145,1312,143
824,148,1310,142
867,151,1309,141
911,153,1307,140
911,156,1306,139
911,158,1304,138
911,161,1303,137
911,163,1301,135
911,166,1300,134
911,169,1298,133
911,171,1297,132
908,174,1295,131
856,176,1294,130
823,179,1292,129
804,181,1291,128
751,183,1290,127
678,186,1288,126
646,188,1287,125
646,191,1286,124
646,193,1285,123
646,195,1283,121
646,198,1282,120
646,200,1281,119
646,202,1280,118
